Taxon	min	max
Biarmosuchus_tener	63.7	66.7
Hipposaurus_boonstrai	58.6	63.8
Archaeosyodon_praeventor	63.7	66.7
Titanophoneus_potens	51	66.7
Gorgonops_torvus	52.87	63.8
Lycosuchus_vanderrieti	58.6	63.8
Glanosuchus_macrops	58.6	67.5
Biseridens_qilianicus	67.5	71
Anomocephalus_africanus	58.6	71
Tiarajudens_eccentricus	58.6	71
Otsheria_netzvetajevi	63.7	66.7
Ulemica	51	66.7
Suminia_getmanovi	51	63.7
Patranomodon_nyaphulii	58.6	63.8
Galeops_whaitsi	58.6	63.8
Galepus_jouberti	50.6	88.6
Galechirus_scholtzi	58.6	63.8
Eodicynodon_oelofseni	58.6	71
Eodicynodon_oosthuizeni	58.6	67.5
Colobodectes_cluveri	50.87	58.6
Lanthanostegus_mohoii	58.6	63.8
Eosimops_newtoni	52.87	63.8
Diictodon_feliceps	50.87	71
Robertia_broomiana	52.87	63.8
Prosictodon_dubei	58.6	71
Endothiodon_bathystoma	52.87	63.8
Endothiodon_tolani	58.6	63.8
Niassodon_mfumukasi	52.87	58.6
Brachyprosopus_broomi	58.6	67.5
Pristerodon_mackayi	52.87	63.8
Emydops	50.87	71
Digalodon_rubidgei	50.87	58.6
Dicynodontoides	45.9	97.6
Kombuisia_frerensis	40.7	45.9
Myosaurus_gracilis	45.9	50.87
Cistecephalus_microrhinus	52.9	63.8
Cistecephaloides_boonstrai	52.9	58.6
Kawingasaurus_fossilis	50.9	58.6
Daqingshanodon_limbus	50.9	58.6
Keyseria_benjamini	50.9	58.6
Rhachiocephalus_magnus	52.9	58.6
Kitchinganomodon_crassus	50.9	58.6
Oudenodon_bainii	50.9	63.7
Tropidostoma_dubium	52.9	63.8
Australobarbarus	51	63.7
Syops_vanhoepeni	52.9	58.6
Odontocyclops_whaitsi	52.9	58.6
Idelesaurus_tataricus 	52.7	63.7
Aulacephalodon_bainii	50.9	58.6
Pelanomodon_moschops	50.9	58.6
Geikia_locusticeps	50.9	58.6
Geikia_elginensis	50.9	52.9
Elph_borealis	51	63.7
Interpresosaurus_blomi	51	57.7
Katumbia_parringtoni	52.9	58.6
Delectosaurus_arefjevi	51	57.7
Dicynodon_lacerticeps	51	63.7
Dicynodon_huenei 	51	63.7
Daptocephalus_leoniceps 	50.9	58.6
Dinanomodon_gilli 	45.9	58.6
Peramodon_amalitzkii	51	63.7
Vivaxosaurus_trautscholdi	51	63.7
Jimusaria_sinkiangensis	50.9	52.9
Sintocephalus_alticeps	52.9	58.6
Basilodon_woodwardi	50.9	58.6
Turfanodon_bogdaensis 	50.9	52.9
Gordonia_traquairi 	51	63.7
Euptychognathus_bathyrhynchus	52.9	58.6
Lystrosaurus_hedini	40.7	52.9
Lystrosaurus_maccaigi	45.9	50.9
Lystrosaurus_curvatus	45.9	50.9
Lystrosaurus_declivis	45.9	50.9
Lystrosaurus_murrayi	45.9	50.9
Shansiodon	40.7	45.9
Tetragonias_njalilus	40.7	45.9
Vinceria_andina	40.7	45.9
Rhinodicynodon_gracile	40.7	45.9
Dinodontosaurus	35.7	40.7
Angonisaurus_cruickshanki	40.7	45.9
Kannemeyeria_simocephalus	40.7	45.9
Kannemeyeria_lophorhinus	40.7	45.9
Dolichuranus_primaevus	40.7	45.9
Sinokannemeyeria	40.7	45.9
Parakannemeyeria	35.7	45.9
Xiyukannemeyeria_brevirostris	40.7	45.9
Rabidosaurus_cristatus	40.7	45.9
Rhadiodromus	40.7	45.9
Wadiasaurus_indicus	40.7	45.9
Shaanbeikannemeyeria	40.7	45.9
Rechnisaurus_cristarhynchus	40.7	45.9
Uralokannemeyeria_vjuschkovi	40.7	45.9
Zambiasaurus_submersus	40.7	45.9
Placerias_hesternus	7.19999999999999	26.7
Moghreberia_nmachouensis	0	35.7
Stahleckeria_potens	35.7	40.7
Sangusaurus_parringtonii	40.7	45.9
Eubrachiosaurus_browni	26.7	35.7
Jachaleria	35.7	40.7
Ischigualastia_jenseni	26.7	35.7
Rastodon_procurvidens	58.6	67.5
Sauroscaptor_tharavati	52.9	58.6
Bulbasaurus_phylloxyron	52.9	58.6
Compsodon_helmoedi	50.9	58.6
