taxon	min_age	max_age
Biarmosuchus_tener	265	268
Hipposaurus_boonstrai	259.9	265.1
Archaeosyodon_praeventor	265	268
Titanophoneus_potens	252.3	268
Gorgonops_torvus	254.17	265.1
Lycosuchus_vanderrieti	259.9	265.1
Glanosuchus_macrops	259.9	268.8
Biseridens_qilianicus	268.8	272.3
Anomocephalus_africanus	259.9	272.3
Tiarajudens_eccentricus	259.9	272.3
Otsheria_netzvetajevi	265	268
Ulemica_sp	252.3	268
Suminia_getmanovi	252.3	265
Patranomodon_nyaphulii	259.9	265.1
Galeops_whaitsi	259.9	265.1
Galepus_jouberti	251.9	289.9
Galechirus_scholtzi	259.9	265.1
Eodicynodon_oelofseni	259.9	272.3
Eodicynodon_oosthuizeni	259.9	268.8
Colobodectes_cluveri	252.17	259.9
Lanthanostegus_mohoii	259.9	265.1
Eosimops_newtoni	254.17	265.1
Diictodon_feliceps	252.17	272.3
Robertia_broomiana	254.17	265.1
Prosictodon_dubei	259.9	272.3
Endothiodon_bathystoma	254.17	265.1
Endothiodon_tolani	259.9	265.1
Niassodon_mfumukasi	254.17	259.9
Brachyprosopus_broomi	259.9	268.8
Pristerodon_mackayi	254.17	265.1
Emydops	252.17	272.3
Digalodon_rubidgei	252.17	259.9
Dicynodontoides	247.2	298.9
Kombuisia_frerensis	242	247.2
Myosaurus_gracilis	247.2	252.17
Cistecephalus_microrhinus	254.2	265.1
Cistecephaloides_boonstrai	254.2	259.9
Kawingasaurus_fossilis	252.2	259.9
Daqingshanodon_limbus	252.2	259.9
Keyseria_benjamini	252.2	259.9
Rhachiocephalus_magnus	254.2	259.9
Kitchinganomodon_crassus	252.2	259.9
Oudenodon_bainii	252.2	265
Tropidostoma_dubium	254.2	265.1
Australobarbarus	252.3	265
Syops_vanhoepeni	254.2	259.9
Odontocyclops_whaitsi	254.2	259.9
Idelesaurus_tataricus	254	265
Aulacephalodon_bainii	252.2	259.9
Pelanomodon_moschops	252.2	259.9
Geikia_locusticeps	252.2	259.9
Geikia_elginensis	252.2	254.2
Elph_borealis	252.3	265
Interpresosaurus_blomi	252.3	259
Katumbia_parringtoni	254.2	259.9
Delectosaurus_arefjevi	252.3	259
Dicynodon_lacerticeps	252.3	265
Dicynodon_huenei	252.3	265
Daptocephalus_leoniceps	252.2	259.9
Dinanomodon_gilli	247.2	259.9
Peramodon_amalitzkii	252.3	265
Vivaxosaurus_trautscholdi	252.3	265
Jimusaria_sinkiangensis	252.2	254.2
Sintocephalus_alticeps	254.2	259.9
Basilodon_woodwardi	252.2	259.9
Turfanodon_bogdaensis	252.2	254.2
Gordonia_traquairi	252.3	265
Euptychognathus_bathyrhynchus	254.2	259.9
Lystrosaurus_hedini	242	254.2
Lystrosaurus_maccaigi	247.2	252.2
Lystrosaurus_curvatus	247.2	252.2
Lystrosaurus_declivis	247.2	252.2
Lystrosaurus_murrayi	247.2	252.2
Shansiodon_sp.	242	247.2
Tetragonias_njalilus	242	247.2
Vinceria_andina	242	247.2
Rhinodicynodon_gracile	242	247.2
Dinodontosaurus_Sp.	237	242
Angonisaurus_cruickshanki	242	247.2
Kannemeyeria_simocephalus	242	247.2
Kannemeyeria_lophorhinus	242	247.2
Dolichuranus_primaevus	242	247.2
Sinokannemeyeria_sp.	242	247.2
Parakannemeyeria_sp.	237	247.2
Xiyukannemeyeria_brevirostris	242	247.2
Rabidosaurus_cristatus	242	247.2
Rhadiodromus	242	247.2
Wadiasaurus_indicus	242	247.2
Shaanbeikannemeyeria_sp.	242	247.2
Rechnisaurus_cristarhynchus	242	247.2
Uralokannemeyeria_vjuschkovi	242	247.2
Zambiasaurus_submersus	242	247.2
Placerias_hesternus	208.5	228
Moghreberia_nmachouensis	201.3	237
Stahleckeria_potens	237	242
Sangusaurus_parringtonii	242	247.2
Eubrachiosaurus_browni	228	237
Jachaleria_sp.	237	242
Ischigualastia_jenseni	228	237
Rastodon_procurvidens	259.9	268.8
Sauroscaptor_tharavati	254.2	259.9
Bulbasaurus_phylloxyron	254.2	259.9
Compsodon_helmoedi	252.2	259.9
Pentasaurus_goggai	201.6	221.5
Thliptosaurus_imperforatus	252.3	259.0
Dicynodon_angielczyki	252.3	259.0
Daptocephalus_huenei	252.3	259.0
